duration_ms,mouseClickCount,scrollCount,scrollDensity,viewportChanges,tabCount,enterPressed,deviceType_encoded,fieldCount,totalTimeSpent,avgTimePerField,totalFocusCount,avgChangesPerField,avgPastePerField,avgDeletePerField,fieldOrderDeviation,stdTimePerField,maxPasteCount,pasteRatio,deleteRatio,label_target
55720,10,18,0.3230437324042117,1,0,0,1,8,19254,2406.75,8,3.25,1.0,3.0,0,736.0312008138163,1,1.0,1.0,0
46099,3,5,0.10846219907976332,1,0,0,1,8,21870,2733.75,8,3.25,0.5,3.5,0,749.2870420797169,1,0.5,1.0,0
83897,11,7,0.08343563137708959,1,0,0,1,8,22794,2849.25,8,3.75,0.375,2.75,0,549.1096039433813,1,0.375,1.0,0
45831,12,11,0.24001216643490944,1,0,0,0,8,23430,2928.75,8,2.0,0.75,3.25,0,394.82138818892344,1,0.75,1.0,0
80821,6,11,0.13610322365434432,1,0,0,0,8,19667,2458.375,8,2.375,0.625,3.0,0,693.4338855085094,1,0.625,1.0,0
48467,5,7,0.14442813781993152,0,0,0,0,8,20334,2541.75,8,2.5,0.5,2.5,0,810.0306431593456,1,0.5,1.0,0
78712,5,19,0.2413862890809166,1,0,0,0,8,24201,3025.125,8,3.25,0.5,3.0,0,979.1000879087169,1,0.5,1.0,0
71976,7,11,0.15282869945138663,0,0,0,1,8,22863,2857.875,8,3.375,0.625,3.0,0,588.3080916614065,1,0.625,1.0,0
66594,7,6,0.09009819351620364,2,0,0,0,8,23582,2947.75,8,3.0,0.375,3.0,0,609.7111142640774,1,0.375,1.0,0
31833,3,15,0.4712089745833021,1,0,0,0,8,19598,2449.75,8,3.75,0.625,2.75,0,534.9049982406756,1,0.625,1.0,0
86516,7,10,0.11558554306884933,1,0,0,0,8,22597,2824.625,8,2.375,0.125,2.375,0,590.5972612533858,1,0.125,1.0,0
82851,5,6,0.0724191533694037,2,0,0,0,8,22532,2816.5,8,3.0,0.25,3.5,0,822.0615201170426,1,0.25,1.0,0
44103,8,16,0.36278702972880983,0,0,0,0,8,23329,2916.125,8,2.75,0.625,1.75,0,747.1858513305585,1,0.625,1.0,0
39362,10,12,0.3048624803458969,2,0,0,0,8,24084,3010.5,8,2.875,0.25,4.0,0,798.5123668422425,1,0.25,1.0,0
69829,12,6,0.08592417392141175,0,0,0,0,8,20683,2585.375,8,3.5,0.5,3.25,0,597.3357365358759,1,0.5,1.0,0
77077,8,12,0.15568844717769928,2,0,0,0,8,20278,2534.75,8,3.75,0.625,2.75,0,687.8867743209737,1,0.625,1.0,0
77476,3,16,0.20651553945537462,1,0,0,0,8,20714,2589.25,8,3.25,0.25,3.25,0,610.2888660298498,1,0.25,1.0,0
37033,6,12,0.32403523235081344,1,0,0,1,8,22112,2764.0,8,2.0,0.75,3.125,0,712.0176562818812,1,0.75,1.0,0
68316,10,20,0.29275714433556643,1,0,0,0,8,26408,3301.0,8,3.0,0.5,3.125,0,571.9835162460041,1,0.5,1.0,0
75018,5,13,0.17329172021491904,1,0,0,1,8,24301,3037.625,8,2.375,0.125,2.75,0,745.2036993812019,1,0.125,1.0,0
35311,6,19,0.5380758012869074,1,0,0,0,8,19192,2399.0,8,3.375,0.375,3.0,0,826.3734887187167,1,0.375,1.0,0
66259,4,17,0.2565688802171961,1,0,0,1,8,20253,2531.625,8,3.5,0.625,2.875,0,563.0955101680607,1,0.625,1.0,0
81656,7,18,0.22043692803505827,0,0,0,0,8,21567,2695.875,8,2.625,0.5,3.125,0,731.9085496153191,1,0.5,1.0,0
58522,4,14,0.23922623300190815,0,0,0,1,8,22379,2797.375,8,2.875,0.5,3.125,0,591.2193060592177,1,0.5,1.0,0
75917,10,19,0.25027329184855934,2,0,0,0,8,20843,2605.375,8,2.75,0.375,3.125,0,696.2920030931194,1,0.375,1.0,0
30546,12,10,0.32737499922248436,1,0,0,1,8,20502,2562.75,8,3.25,0.5,3.625,0,784.0453248560134,1,0.5,1.0,0
65801,9,13,0.19756535651960355,0,0,0,0,8,20824,2603.0,8,4.125,0.375,3.5,0,829.7247392100244,1,0.375,1.0,0
83857,10,17,0.20272604520480755,0,0,0,0,8,24364,3045.5,8,3.5,0.375,3.875,0,517.3142178598999,1,0.375,1.0,0
67722,4,7,0.10336373654591764,2,0,0,1,8,21262,2657.75,8,3.0,0.75,3.375,0,662.6709482950687,1,0.75,1.0,0
56068,10,19,0.3388741637165293,0,0,0,0,8,22566,2820.75,8,2.625,0.625,3.0,0,741.7968050618713,1,0.625,1.0,0
47989,8,5,0.1041905219549226,1,0,0,1,8,24081,3010.125,8,3.125,0.75,3.25,0,891.8173159341547,1,0.75,1.0,0
83106,3,18,0.2165908338037165,0,0,0,1,8,18717,2339.625,8,3.25,0.375,3.25,0,734.4225987613867,1,0.375,1.0,0
89384,8,12,0.13425220014183745,0,0,0,0,8,24425,3053.125,8,2.375,0.375,3.0,0,763.3593869020203,1,0.375,1.0,0
45334,6,12,0.26470193128734915,0,0,0,0,8,19328,2416.0,8,3.875,0.125,3.375,0,793.6454768075876,1,0.125,1.0,0
67599,6,12,0.17751739263637142,1,0,0,1,8,21088,2636.0,8,2.25,0.375,2.875,0,831.3867932557024,1,0.375,1.0,0
83616,12,15,0.17939148256416443,1,0,0,0,8,24394,3049.25,8,1.625,0.5,2.625,0,756.9743815253687,1,0.5,1.0,0
71729,5,18,0.2509444923330184,2,0,0,1,8,23419,2927.375,8,3.375,0.75,3.0,0,761.8841189539822,1,0.75,1.0,0
61459,4,5,0.08135503647064929,1,0,0,1,8,23563,2945.375,8,3.125,0.5,3.75,0,750.1336904655253,1,0.5,1.0,0
49915,4,18,0.36061296992628067,2,0,0,0,8,24287,3035.875,8,3.25,0.5,2.875,0,683.1254721603387,1,0.5,1.0,0
51030,4,16,0.3135409928393116,2,0,0,1,8,19390,2423.75,8,3.75,0.625,3.5,0,653.9125651470102,1,0.625,1.0,0
74219,6,15,0.2021045551537268,0,0,0,0,8,23866,2983.25,8,3.5,0.5,3.5,0,820.7960856910286,1,0.5,1.0,0
82377,7,7,0.08497516479415798,2,0,0,0,8,22471,2808.875,8,3.625,0.75,3.625,0,661.2154257771928,1,0.75,1.0,0
45974,4,10,0.21751419987075307,2,0,0,0,8,22403,2800.375,8,3.125,0.375,2.875,0,779.5091747833559,1,0.375,1.0,0
60238,8,18,0.29881465207764996,2,0,0,1,8,21148,2643.5,8,3.125,0.625,4.0,0,451.24019577794076,1,0.625,1.0,0
32088,12,8,0.24931430774298557,0,0,0,1,8,20581,2572.625,8,2.5,0.25,2.625,0,616.578795219464,1,0.25,1.0,0
68748,5,20,0.2909175116487008,1,0,0,0,8,22877,2859.625,8,3.0,0.0,3.5,0,898.6577192839171,0,0.0,1.0,0
66611,12,10,0.15012533213353166,0,0,0,1,8,20163,2520.375,8,3.0,0.625,2.625,0,925.7049726714076,1,0.625,1.0,0
75645,7,20,0.2643928528795224,2,0,0,0,8,22474,2809.25,8,3.625,0.375,3.5,0,807.9702522812511,1,0.375,1.0,0
64033,3,17,0.2654880662333381,0,0,0,1,8,25346,3168.25,8,3.875,0.5,3.625,0,746.4787337895166,1,0.5,1.0,0
42782,10,13,0.30386604088961694,2,0,0,1,8,21478,2684.75,8,2.875,0.5,2.625,0,724.5528177533268,1,0.5,1.0,0
55251,7,20,0.36198433295608534,0,0,0,1,8,24791,3098.875,8,2.375,0.375,2.875,0,563.9147446961413,1,0.375,1.0,0
72451,6,15,0.20703645125168027,0,0,0,1,8,21592,2699.0,8,2.875,0.875,2.25,0,697.9545625816708,1,0.875,1.0,0
77218,11,11,0.1424538135598159,1,0,0,0,8,24584,3073.0,8,3.375,0.625,3.375,0,773.4619761639409,1,0.625,1.0,0
81768,7,15,0.18344582435111237,2,0,0,1,8,19986,2498.25,8,1.875,0.75,3.375,0,762.9693403313886,1,0.75,1.0,0
54597,3,6,0.10989612801140575,0,0,0,0,8,25897,3237.125,8,3.125,0.25,3.0,0,332.30942443967575,1,0.25,1.0,0
30360,11,16,0.5270090490747533,1,0,0,0,8,20382,2547.75,8,3.125,0.75,2.75,0,747.3982969513072,1,0.75,1.0,0
66770,4,6,0.08986070243212484,0,0,0,0,8,22339,2792.375,8,3.625,0.5,3.375,0,881.9314740953517,1,0.5,1.0,0
63314,12,16,0.2527086816961996,2,0,0,1,8,24507,3063.375,8,3.5,0.625,3.5,0,712.3817069721621,1,0.625,1.0,0
48722,5,18,0.3694428862848638,0,0,0,1,8,20616,2577.0,8,3.125,0.5,3.0,0,855.8786629623885,1,0.5,1.0,0
81619,11,8,0.09801638123275447,1,0,0,0,8,22402,2800.25,8,3.125,0.625,3.75,0,716.8498049502023,1,0.625,1.0,0
38364,8,7,0.18246267791088575,1,0,0,0,8,21700,2712.5,8,2.75,0.75,3.0,0,549.8355598332495,1,0.75,1.0,0
34267,7,17,0.49610397872472667,1,0,0,0,8,21949,2743.625,8,3.0,0.625,2.375,0,648.9965743911355,1,0.625,1.0,0
65814,11,12,0.18233199891634017,2,0,0,1,8,21448,2681.0,8,3.25,0.5,2.625,0,903.6698196006895,1,0.5,1.0,0
67686,11,11,0.16251511944639666,1,0,0,0,8,20495,2561.875,8,3.125,0.375,2.375,0,923.1762619967466,1,0.375,1.0,0
52752,4,16,0.3033059782935285,2,0,0,1,8,24487,3060.875,8,2.75,0.625,2.375,0,805.5391162799873,1,0.625,1.0,0
82160,9,18,0.21908468608998466,0,0,0,0,8,25523,3190.375,8,2.5,0.375,2.5,0,643.7579264421859,1,0.375,1.0,0
74575,9,13,0.1743211298261978,0,0,0,0,8,19147,2393.375,8,3.125,0.875,3.875,0,804.0797646111627,1,0.875,1.0,0
42053,12,16,0.38047217071976536,0,0,0,1,8,21848,2731.0,8,2.75,0.5,2.25,0,744.7624741198654,1,0.5,1.0,0
80531,6,12,0.14901092138295544,1,0,0,1,8,23500,2937.5,8,3.625,0.375,3.125,0,683.1115784199742,1,0.375,1.0,0
36855,5,12,0.3256002372540395,2,0,0,0,8,22782,2847.75,8,3.625,0.25,3.0,0,766.8059449057872,1,0.25,1.0,0
84594,3,8,0.09456934362137462,0,0,0,0,8,25709,3213.625,8,2.625,0.75,3.125,0,834.296271031546,1,0.75,1.0,0
60758,9,5,0.08229367617537177,2,0,0,1,8,23406,2925.75,8,2.75,0.375,4.0,0,631.863852876099,1,0.375,1.0,0
68184,4,19,0.27865770875018936,1,0,0,1,8,26474,3309.25,8,3.625,0.625,3.25,0,570.2948485526713,1,0.625,1.0,0
41273,7,15,0.3634336337475749,2,0,0,0,8,24937,3117.125,8,3.5,0.5,2.125,0,668.5986277281759,1,0.5,1.0,0
86148,3,8,0.09286343352562643,1,0,0,1,8,20562,2570.25,8,3.25,0.5,4.0,0,791.1143587190343,1,0.5,1.0,0
73058,7,18,0.24637955509601203,0,0,0,1,8,21035,2629.375,8,2.875,0.625,2.875,0,799.5654065088823,1,0.625,1.0,0
47473,4,9,0.1895814063612145,0,0,0,1,8,23680,2960.0,8,3.5,0.375,2.875,0,540.1653186095637,1,0.375,1.0,0
41088,3,8,0.1947040024571645,0,0,0,1,8,22154,2769.25,8,2.75,0.625,3.5,0,901.6383104422432,1,0.625,1.0,0
31768,7,8,0.25182565732005247,0,0,0,0,8,24803,3100.375,8,3.0,0.625,2.625,0,858.4161390940543,1,0.625,1.0,0
67809,5,18,0.265451449593498,2,0,0,1,8,23523,2940.375,8,2.625,0.5,2.875,0,737.6175814258846,1,0.5,1.0,0
80855,5,19,0.234988530704529,2,0,0,0,8,20387,2548.375,8,3.5,0.5,3.25,0,647.6564207090935,1,0.5,1.0,0
37951,4,11,0.2898473584760985,0,0,0,0,8,23369,2921.125,8,2.875,0.375,2.375,0,680.6180883159491,1,0.375,1.0,0
57801,4,7,0.12110515023872419,2,0,0,0,8,20920,2615.0,8,3.0,0.5,2.75,0,509.7214925819785,1,0.5,1.0,0
79840,6,13,0.16282563090861335,0,0,0,0,8,25011,3126.375,8,3.375,0.875,2.875,0,567.5219158763826,1,0.875,1.0,0
76535,5,8,0.10452732677502753,1,0,0,1,8,24812,3101.5,8,2.875,0.375,3.0,0,838.0267639776531,1,0.375,1.0,0
74147,9,12,0.16184064603549084,2,0,0,0,8,25193,3149.125,8,2.875,0.875,2.75,0,686.9974916776833,1,0.875,1.0,0
75405,11,17,0.22544921086808423,1,0,0,0,8,23802,2975.25,8,2.875,0.375,2.375,0,914.6357198360449,1,0.375,1.0,0
61285,9,17,0.2773924651395178,2,0,0,1,8,25336,3167.0,8,2.5,0.5,3.375,0,396.9080498049895,1,0.5,1.0,0
81831,4,19,0.23218581806579192,0,0,0,1,8,21760,2720.0,8,2.875,0.5,3.25,0,525.0814902741968,1,0.5,1.0,0
41398,10,17,0.41064775818934285,2,0,0,1,8,18391,2298.875,8,3.375,0.625,3.0,0,877.4432724846498,1,0.625,1.0,0
85654,6,11,0.12842364297947054,2,0,0,0,8,20673,2584.125,8,2.75,0.625,2.375,0,764.3558328983395,1,0.625,1.0,0
77701,12,12,0.15443814694300628,1,0,0,1,8,22858,2857.25,8,3.25,0.875,3.5,0,758.5630682886087,1,0.875,1.0,0
71928,3,5,0.0695139487384678,0,0,0,1,8,21457,2682.125,8,2.875,0.875,3.375,0,781.3304472866412,1,0.875,1.0,0
42801,6,9,0.21027541172509712,0,0,0,1,8,24394,3049.25,8,3.125,0.75,3.5,0,586.4539319381483,1,0.75,1.0,0
42224,9,13,0.30788170048273483,0,0,0,1,8,23243,2905.375,8,3.625,0.625,2.75,0,728.5429563764338,1,0.625,1.0,0
67956,8,6,0.08829241151739191,0,0,0,0,8,22901,2862.625,8,3.875,0.5,3.0,0,757.9962188936979,1,0.5,1.0,0
61384,10,16,0.26065419968490167,1,0,0,1,8,20988,2623.5,8,3.125,0.25,3.125,0,665.8996063328809,1,0.25,1.0,0
43419,9,5,0.11515693241278417,1,0,0,1,8,17244,2155.5,8,2.25,0.625,2.875,0,634.3169554725777,1,0.625,1.0,0
67971,7,19,0.2795309353208081,0,0,0,0,8,23447,2930.875,8,2.5,0.125,3.75,0,612.6237338576708,1,0.125,1.0,0
41169,11,10,0.24290115307606377,2,0,0,0,8,23344,2918.0,8,2.375,0.375,3.0,0,968.8715085087392,1,0.375,1.0,0
69586,10,7,0.10059493280330342,1,0,0,0,8,24128,3016.0,8,3.125,0.5,2.875,0,785.147483870751,1,0.5,1.0,0
47805,5,20,0.41836619216270426,0,0,0,1,8,26713,3339.125,8,2.75,0.625,2.5,0,612.6685045182031,1,0.625,1.0,0
38803,4,8,0.20616957292746105,1,0,0,1,8,22236,2779.5,8,3.625,0.375,3.125,0,886.8472247236274,1,0.375,1.0,0
33202,11,16,0.4818985356609434,2,0,0,0,8,23719,2964.875,8,3.75,0.375,2.75,0,834.9981073545702,1,0.375,1.0,0
75952,3,11,0.14482829355009827,1,0,0,0,8,22803,2850.375,8,2.25,0.5,2.75,0,715.7914575588939,1,0.5,1.0,0
86687,6,8,0.09228602993689597,1,0,0,0,8,25067,3133.375,8,2.5,0.5,2.875,0,770.1712124122604,1,0.5,1.0,0
53166,12,14,0.2633261363792393,1,0,0,1,8,25207,3150.875,8,2.625,0.625,2.75,0,636.3113428189065,1,0.625,1.0,0
53369,5,16,0.2997994529034734,1,0,0,0,8,20981,2622.625,8,3.5,0.25,2.625,0,662.8350231069138,1,0.25,1.0,0
85589,7,13,0.15188865953701297,0,0,0,1,8,21579,2697.375,8,3.625,0.5,3.25,0,535.277214561363,1,0.5,1.0,0
33249,3,16,0.4812173354935981,2,0,0,1,8,22971,2871.375,8,3.875,0.25,4.25,0,802.0044420076488,1,0.25,1.0,0
81718,7,17,0.20803247656177626,2,0,0,1,8,20956,2619.5,8,2.75,0.75,3.5,0,580.8774151476123,1,0.75,1.0,0
50880,6,7,0.13757858931238415,0,0,0,0,8,18784,2348.0,8,2.375,0.75,2.625,0,786.7157773209549,1,0.75,1.0,0
35912,5,9,0.25061253881361695,2,0,0,1,8,21278,2659.75,8,2.625,0.125,2.25,0,660.2843002395689,1,0.125,1.0,0
69023,12,8,0.11590337772867339,0,0,0,0,8,22060,2757.5,8,3.375,0.5,4.0,0,630.8850925485559,1,0.5,1.0,0
50563,4,10,0.19777303605936433,0,0,0,0,8,17969,2246.125,8,3.375,0.375,1.875,0,591.3124476233236,1,0.375,1.0,0
51868,10,9,0.17351735684480663,0,0,0,0,8,23438,2929.75,8,2.75,0.625,2.875,0,606.9791123730228,1,0.625,1.0,0
30689,11,12,0.3910194561505894,2,0,0,0,8,24352,3044.0,8,3.25,0.375,2.625,0,596.8335494208461,1,0.375,1.0,0
50196,8,17,0.3386723367056465,2,0,0,0,8,24223,3027.875,8,2.625,0.625,3.75,0,787.7371638343047,1,0.625,1.0,0
79210,4,19,0.23986867316390947,1,0,0,0,8,21767,2720.875,8,3.5,0.625,3.5,0,766.7451499683581,1,0.625,1.0,0
52986,3,13,0.24534778142381355,0,0,0,1,8,17930,2241.25,8,2.5,0.5,4.0,0,472.68888892620026,1,0.5,1.0,0
37177,5,19,0.5110685340214288,1,0,0,1,8,25368,3171.0,8,3.375,0.5,2.75,0,875.7134234439941,1,0.5,1.0,0
81374,11,15,0.1843340398242633,2,0,0,1,8,23844,2980.5,8,2.75,0.5,4.125,0,772.5767645631449,1,0.5,1.0,0
55307,10,7,0.12656623455146102,1,0,0,0,8,23695,2961.875,8,3.125,0.5,2.875,0,485.27148145577826,1,0.5,1.0,0
69331,10,16,0.23077696401653458,1,0,0,0,8,24916,3114.5,8,2.25,0.625,3.375,0,561.0416332908942,1,0.625,1.0,0
49571,5,7,0.14121156700256862,2,0,0,0,8,22456,2807.0,8,4.25,0.375,3.125,0,835.832690024915,1,0.375,1.0,0
48306,11,16,0.33122172582666215,0,0,0,1,8,23963,2995.375,8,3.25,0.375,3.25,0,488.1416473290747,1,0.375,1.0,0
69946,8,11,0.15726415273723263,2,0,0,0,8,24502,3062.75,8,3.0,0.375,2.875,0,786.7077420672632,1,0.375,1.0,0
83728,8,12,0.1433212135341566,2,0,0,0,8,21715,2714.375,8,2.0,0.625,3.125,0,666.784166728635,1,0.625,1.0,0
60168,7,8,0.13296102031627768,1,0,0,1,8,18126,2265.75,8,3.375,0.625,3.25,0,603.4329765126008,1,0.625,1.0,0
81356,3,20,0.24583309825543315,1,0,0,1,8,21348,2668.5,8,3.125,0.375,3.375,0,853.2834062775224,1,0.375,1.0,0
73278,6,16,0.2183465407971641,0,0,0,0,8,21497,2687.125,8,2.625,0.625,3.75,0,607.0524659603743,1,0.625,1.0,0
55030,5,6,0.10903141758469605,1,0,0,0,8,22203,2775.375,8,2.875,0.25,3.875,0,655.7107240021537,1,0.25,1.0,0
58193,4,17,0.2921313058045975,0,0,0,0,8,22444,2805.5,8,2.875,0.5,3.0,0,836.6772717977088,1,0.5,1.0,0
45304,10,9,0.19865791129747673,0,0,0,0,8,20377,2547.125,8,2.875,0.625,3.75,0,550.2031929854902,1,0.625,1.0,0
85663,12,14,0.16343110054152896,2,0,0,0,8,19971,2496.375,8,3.125,0.5,3.5,0,796.0294211181608,1,0.5,1.0,0
53726,7,19,0.35364621344484726,1,0,0,1,8,22105,2763.125,8,3.5,0.75,2.875,0,602.2689094463655,1,0.75,1.0,0
59911,12,18,0.3004456109152558,2,0,0,1,8,19670,2458.75,8,3.125,0.625,3.75,0,982.8558606719212,1,0.625,1.0,0
30394,10,16,0.5264195148978368,2,0,0,0,8,22224,2778.0,8,2.25,0.625,2.5,0,664.3566167998285,1,0.625,1.0,0
64721,7,7,0.10815653216783853,0,0,0,1,8,19990,2498.75,8,3.0,0.625,3.75,0,669.8080215362352,1,0.625,1.0,0
82169,7,11,0.1338704214642479,1,0,0,1,8,18682,2335.25,8,3.625,0.5,3.25,0,460.9009035108772,1,0.5,1.0,0
30179,11,9,0.29822051816809103,0,0,0,0,8,25811,3226.375,8,4.25,0.5,4.125,0,752.3589450141848,1,0.5,1.0,0
59483,10,10,0.16811523155939823,0,0,0,0,8,23542,2942.75,8,3.25,0.375,3.625,0,685.0050573327387,1,0.375,1.0,0
55263,6,5,0.09047643260835773,1,0,0,1,8,21885,2735.625,8,3.125,0.375,2.5,0,700.2709552125417,1,0.375,1.0,0
37023,5,19,0.5131943621007583,0,0,0,0,8,18451,2306.375,8,2.0,0.75,2.875,0,762.9648817044502,1,0.75,1.0,0
49308,5,14,0.28392952787995296,2,0,0,1,8,21046,2630.75,8,2.875,0.375,2.875,0,769.3271178671101,1,0.375,1.0,0
80758,11,14,0.17335741680608524,1,0,0,0,8,24588,3073.5,8,2.625,0.375,2.75,0,495.0564181412631,1,0.375,1.0,0
64402,12,17,0.26396691656052346,1,0,0,0,8,17731,2216.375,8,2.75,0.625,3.25,0,571.3510148261374,1,0.625,1.0,0
74899,8,15,0.20026966978602254,2,0,0,0,8,22616,2827.0,8,3.375,0.75,2.75,0,688.0556455902179,1,0.75,1.0,0
56594,7,17,0.3003851467672992,0,0,0,0,8,17825,2228.125,8,3.0,0.625,3.5,0,672.8643330674362,1,0.625,1.0,0
32171,11,7,0.21758720040185245,2,0,0,1,8,23658,2957.25,8,3.375,0.75,3.0,0,715.1522814857585,1,0.75,1.0,0
83441,6,6,0.07190708741421034,2,0,0,0,8,18654,2331.75,8,2.875,0.375,3.375,0,535.3142601714036,1,0.375,1.0,0
88347,8,8,0.09055201754988652,0,0,0,1,8,23754,2969.25,8,3.875,0.5,2.375,0,929.5964946454687,1,0.5,1.0,0
47816,11,16,0.334615958127832,1,0,0,0,8,19452,2431.5,8,2.875,0.375,2.875,0,575.2656529192157,1,0.375,1.0,0
38711,10,18,0.4649839929260435,1,0,0,0,8,23443,2930.375,8,1.875,0.5,3.25,0,626.5998808763736,1,0.5,1.0,0
86735,9,7,0.08070558820480911,1,0,0,1,8,19055,2381.875,8,3.375,0.5,2.375,0,710.0045145731721,1,0.5,1.0,0
84356,11,6,0.07112711945479641,1,0,0,0,8,21298,2662.25,8,2.0,0.375,2.5,0,539.1349552755784,1,0.375,1.0,0
77565,3,17,0.219170989599563,0,0,0,1,8,24944,3118.0,8,2.75,0.75,2.5,0,653.8228244060357,1,0.75,1.0,0
59157,11,6,0.10142500440776166,2,0,0,1,8,20811,2601.375,8,2.75,0.375,3.75,0,808.3913368978099,1,0.375,1.0,0
40959,3,13,0.31739048380319734,2,0,0,0,8,20494,2561.75,8,3.125,0.375,3.0,0,792.627772484844,1,0.375,1.0,0
88890,12,20,0.22499716222329144,0,0,0,0,8,23532,2941.5,8,3.5,0.625,2.875,0,879.2027232506896,1,0.625,1.0,0
32663,7,14,0.42861940770308676,0,0,0,0,8,20352,2544.0,8,3.375,0.625,3.125,0,980.9665787229596,1,0.625,1.0,0
58750,8,19,0.3234042002716255,1,0,0,1,8,24205,3025.625,8,3.375,0.5,3.375,0,555.8301224295063,1,0.5,1.0,0
69656,6,15,0.2153439451958273,1,0,0,0,8,22740,2842.5,8,2.875,0.5,3.5,0,806.2847777659844,1,0.5,1.0,0
55426,3,20,0.36084141723353347,2,0,0,1,8,23129,2891.125,8,3.5,0.5,1.75,0,728.6816740819388,1,0.5,1.0,0
68660,10,7,0.10195163094208697,0,0,0,0,8,20361,2545.125,8,1.875,0.375,3.0,0,583.4744302146289,1,0.375,1.0,0
75584,4,6,0.07938186926044277,0,0,0,1,8,20885,2610.625,8,2.375,0.375,2.375,0,562.5444585605148,1,0.375,1.0,0
36894,12,20,0.5420934184167023,0,0,0,0,8,27059,3382.375,8,4.25,0.75,2.875,0,541.0275771952057,1,0.75,1.0,0
36321,5,8,0.22025819215930392,1,0,0,1,8,23359,2919.875,8,2.875,0.875,3.5,0,659.7320749473121,1,0.875,1.0,0
59436,8,16,0.2691970742988972,0,0,0,0,8,22168,2771.0,8,3.75,0.875,2.875,0,503.8764020783555,1,0.875,1.0,0
33732,7,15,0.4446814761409118,0,0,0,1,8,21172,2646.5,8,2.75,0.5,3.5,0,780.2303689112779,1,0.5,1.0,0
64678,9,9,0.13915084895159885,1,0,0,1,8,17422,2177.75,8,3.375,0.625,2.25,0,613.0983957385167,1,0.625,1.0,0
54973,3,9,0.16371670388796247,0,0,0,1,8,21004,2625.5,8,3.875,0.875,3.125,0,432.9909269917129,1,0.875,1.0,0
70153,4,11,0.15680011449259268,1,0,0,0,8,22120,2765.0,8,2.5,0.75,3.0,0,935.8453779490346,1,0.75,1.0,0
